name,iso_a3,currency_code,local_price,dollar_ex,date
Singapore,SGP,SGD,3.6,1.6607,2005/6/1
South Africa,ZAF,ZAR,13.95,6.6482,2005/6/1
South Korea,KOR,KRW,2500.0,1005.5,2005/6/1
Sri Lanka,LKA,LKR,175.0,99.945,2005/6/1
Sweden,SWE,SEK,31.0,7.4402,2005/6/1
Switzerland,CHE,CHF,6.3,1.2475,2005/6/1
Taiwan,TWN,TWD,75.0,31.175,2005/6/1
Thailand,THA,THB,60.0,40.53,2005/6/1
Turkey,TUR,TRY,4.0,1.369,2005/6/1
UAE,ARE,AED,9.0,3.6725,2005/6/1
Ukraine,UKR,UAH,7.25,5.06,2005/6/1
United States,USA,USD,3.06,1.0,2005/6/1
Uruguay,URY,UYU,44.0,24.125,2005/6/1
Venezuela,VEN,VEF,5600.0,2629.62,2005/6/1
Argentina,ARG,ARS,4.75,3.0638,2006/1/1
Australia,AUS,AUD,3.25,1.3308,2006/1/1
Brazil,BRA,BRL,6.2,2.2615,2006/1/1
Britain,GBR,GBP,1.88,0.566925563,2006/1/1
Canada,CAN,CAD,3.52,1.1704,2006/1/1
Chile,CHL,CLP,1560.0,522.75,2006/1/1
China,CHN,CNY,10.5,8.0641,2006/1/1
Czech Republic,CZE,CZK,62.0,23.8375,2006/1/1
Denmark,DNK,DKK,27.75,6.1769,2006/1/1
Egypt,EGY,EGP,9.25,5.74,2006/1/1
Euro area,EUZ,EUR,2.91,0.82815735,2006/1/1
Hong Kong,HKG,HKD,12.0,7.7512,2006/1/1
Hungary,HUN,HUF,560.0,206.956,2006/1/1
Indonesia,IDN,IDR,14600.0,9460.0,2006/1/1
Japan,JPN,JPY,250.0,114.305,2006/1/1
Malaysia,MYS,MYR,5.5,3.7488,2006/1/1
Mexico,MEX,MXN,28.0,10.5425,2006/1/1
New Zealand,NZL,NZD,4.45,1.4467,2006/1/1
Peru,PER,PEN,9.5,3.446,2006/1/1
Philippines,PHL,PHP,82.0,52.58,2006/1/1
Poland,POL,PLN,6.5,3.1151,2006/1/1
Russia,RUS,RUB,46.0,28.67,2006/1/1
Singapore,SGP,SGD,3.6,1.6353,2006/1/1
South Africa,ZAF,ZAR,13.95,6.0803,2006/1/1
South Korea,KOR,KRW,2500.0,977.45,2006/1/1
Sweden,SWE,SEK,33.0,7.7119,2006/1/1
Switzerland,CHE,CHF,6.3,1.2776,2006/1/1
Taiwan,TWN,TWD,75.0,31.9495,2006/1/1
Thailand,THA,THB,60.0,39.755,2006/1/1
Turkey,TUR,TRY,4.1,1.3365,2006/1/1
United States,USA,USD,3.15,1.0,2006/1/1
Venezuela,VEN,VEF,5900.0,2615.92,2006/1/1
Argentina,ARG,ARS,7.0,3.0565,2006/5/1
Australia,AUS,AUD,3.25,1.33253,2006/5/1
Brazil,BRA,BRL,6.4,2.3045,2006/5/1
Britain,GBR,GBP,1.94,0.531801744,2006/5/1
Canada,CAN,CAD,3.52,1.12045,2006/5/1
Chile,CHL,CLP,1560.0,529.95,2006/5/1
China,CHN,CNY,10.5,8.026,2006/5/1
Colombia,COL,COP,6500.0,2503.6,2006/5/1
Costa Rica,CRI,CRC,1130.0,509.535,2006/5/1
Czech Republic,CZE,CZK,59.05,22.1078,2006/5/1
Denmark,DNK,DKK,27.75,5.81825,2006/5/1
Egypt,EGY,EGP,9.5,5.77075,2006/5/1
Euro area,EUZ,EUR,2.9395735289999996,0.780365992,2006/5/1
Hong Kong,HKG,HKD,12.0,7.7533,2006/5/1
Hungary,HUN,HUF,560.0,206.3444,2006/5/1
Indonesia,IDN,IDR,14600.0,9325.0,2006/5/1
Japan,JPN,JPY,250.0,112.105,2006/5/1
Malaysia,MYS,MYR,5.5,3.6295,2006/5/1
Mexico,MEX,MXN,29.0,11.3031,2006/5/1
New Zealand,NZL,NZD,4.45,1.62101,2006/5/1
Norway,NOR,NOK,43.0,6.1023,2006/5/1
Pakistan,PAK,PKR,130.0,60.055,2006/5/1
Peru,PER,PEN,9.5,3.261,2006/5/1
Philippines,PHL,PHP,85.0,52.625,2006/5/1
Poland,POL,PLN,6.5,3.09915,2006/5/1
Russia,RUS,RUB,48.0,27.06375,2006/5/1
Saudi Arabia,SAU,SAR,9.0,3.7489999999999997,2006/5/1
Singapore,SGP,SGD,3.6,1.5873,2006/5/1
South Africa,ZAF,ZAR,13.95,6.597,2006/5/1
South Korea,KOR,KRW,2500.0,952.4,2006/5/1
Sweden,SWE,SEK,33.0,7.28455,2006/5/1
Switzerland,CHE,CHF,6.3,1.20885,2006/5/1
Taiwan,TWN,TWD,75.0,32.141,2006/5/1
Thailand,THA,THB,60.0,38.445,2006/5/1
Turkey,TUR,TRY,4.2,1.5415,2006/5/1
UAE,ARE,AED,9.0,3.6726,2006/5/1
Ukraine,UKR,UAH,8.5,5.05,2006/5/1
United States,USA,USD,3.1,1.0,2006/5/1
Uruguay,URY,UYU,42.28,23.925,2006/5/1
Venezuela,VEN,VEF,5701.25,2519.58,2006/5/1
Argentina,ARG,ARS,8.25,3.08875,2007/1/1
Australia,AUS,AUD,3.45,1.266865,2007/1/1
Brazil,BRA,BRL,6.4,2.1335,2007/1/1
Britain,GBR,GBP,1.94,0.506034461,2007/1/1
Canada,CAN,CAD,3.63,1.17485,2007/1/1
Chile,CHL,CLP,1670.0,540.15,2007/1/1
China,CHN,CNY,11.0,7.7743,2007/1/1
Costa Rica,CRI,CRC,1130.0,509.535,2007/1/1
Czech Republic,CZE,CZK,52.1,21.50115,2007/1/1
Denmark,DNK,DKK,27.75,5.75305,2007/1/1
Egypt,EGY,EGP,9.09,5.7,2007/1/1
Euro area,EUZ,EUR,2.94,0.771813376,2007/1/1
Hong Kong,HKG,HKD,12.0,7.79845,2007/1/1
Hungary,HUN,HUF,590.0,194.4237,2007/1/1
Indonesia,IDN,IDR,15900.0,9090.0,2007/1/1
Japan,JPN,JPY,280.0,121.585,2007/1/1
Malaysia,MYS,MYR,5.5,3.502,2007/1/1
Mexico,MEX,MXN,29.0,10.8894,2007/1/1
New Zealand,NZL,NZD,4.6,1.4279600000000001,2007/1/1
Norway,NOR,NOK,41.5,6.1023,2007/1/1
Pakistan,PAK,PKR,140.0,60.055,2007/1/1
Peru,PER,PEN,9.5,3.1895,2007/1/1
Philippines,PHL,PHP,85.0,49.05,2007/1/1
Poland,POL,PLN,6.9,2.97175,2007/1/1
Russia,RUS,RUB,49.0,26.5335,2007/1/1
Saudi Arabia,SAU,SAR,9.0,3.7489999999999997,2007/1/1
Singapore,SGP,SGD,3.6,1.53795,2007/1/1
South Africa,ZAF,ZAR,15.5,7.10975,2007/1/1
South Korea,KOR,KRW,2900.0,940.15,2007/1/1
Sri Lanka,LKA,LKR,190.0,102.955,2007/1/1
Sweden,SWE,SEK,32.0,7.04125,2007/1/1
Switzerland,CHE,CHF,6.3,1.2485,2007/1/1
Taiwan,TWN,TWD,75.0,32.9255,2007/1/1
Thailand,THA,THB,62.0,35.3,2007/1/1
Turkey,TUR,TRY,4.55,1.40975,2007/1/1
UAE,ARE,AED,10.0,3.6726,2007/1/1
Ukraine,UKR,UAH,9.0,5.05,2007/1/1
United States,USA,USD,3.22,1.0,2007/1/1
Uruguay,URY,UYU,55.0,23.925,2007/1/1
